Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,4842,2421,4.006,4506.578,4506.305,4.006
insert_find,1,4938,2469,4.011,4719.815,4719.512,4.011
insert_find,2,4764,2382,8.18,4519.733,4519.448,8.18
insert_find,3,4886,2443,3.983,4631.411,4631.155,3.983
insert_find,4,5004,2502,7.528,4806.251,4805.954,7.528
insert_find,5,5104,2552,7.321,4901.567,4901.291,7.321
insert_find,6,4970,2485,4.001,4638.295,4637.979,4.001
insert_find,7,4910,2455,3.973,4746.69,4746.412,3.973
insert_find,8,5098,2549,5.241,4901.95,4901.674,5.241
insert_find,9,5104,2552,7.809,4966.079,4965.768,7.809
insert_find,10,4908,2454,4.015,4660.267,4659.974,4.015
insert_find,11,4942,2471,4.008,4716.139,4715.831,4.008
insert_find,12,4928,2464,3.979,4745.306,4745.024,3.979
insert_find,13,4954,2477,5.085,4788.905,4788.594,5.085
insert_find,14,4820,2410,4.016,4605.792,4605.496,4.016
insert_find,15,4908,2454,4.026,4854.679,4854.328,4.026
malicious,0,309285,309285,0.024,20.126,0.0,0.0
