Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1503,406,2.674,1107.539
genuine,1,1494,395,2.69,1104.494
genuine,2,1509,387,2.728,1119.196
genuine,3,1500,400,2.696,1104.815
genuine,4,1494,399,2.699,1109.532
genuine,5,1506,394,2.7,1111.868
genuine,6,1506,404,2.701,1128.791
genuine,7,1491,398,2.693,1127.921
genuine,8,1491,403,2.714,1119.207
genuine,9,1491,405,2.682,1120.812
genuine,10,1500,393,2.677,1126.815
genuine,11,1473,391,2.703,1118.036
genuine,12,1485,397,2.695,1122.12
genuine,13,1494,398,2.689,1112.453
genuine,14,1500,390,2.695,1123.417
genuine,15,1473,399,2.693,1105.665
genuine,16,1506,402,2.684,1122.666
genuine,17,1503,396,2.708,1119.49
genuine,18,1470,387,2.687,1114.479
genuine,19,1506,393,2.741,1124.096
genuine,20,1470,392,2.689,1111.555
genuine,21,1503,406,2.704,1118.822
genuine,22,1485,400,3.655,1123.118
genuine,23,1470,385,2.709,1117.614
genuine,24,1500,392,2.693,1124.956
genuine,25,1479,386,4.033,1129.056
genuine,26,1482,405,2.691,1124.335
genuine,27,1500,407,2.692,1121.215
genuine,28,1491,387,2.702,1124.498
genuine,29,1512,412,2.695,1124.428
genuine,30,1485,389,2.697,1110.765
genuine,31,1476,399,2.684,1124.937
genuine,32,1479,397,2.694,1117.775
genuine,33,1473,387,2.684,1125.885
genuine,34,1503,415,2.703,1124.507
genuine,35,1476,395,2.69,1116.161
genuine,36,1485,383,2.701,1130.022
genuine,37,1473,396,2.694,1103.148
genuine,38,1500,393,2.807,1129.359
genuine,39,1509,401,2.721,1118.03
genuine,40,1476,388,2.697,1107.758
genuine,41,1455,376,2.693,1111.859
genuine,42,1497,401,2.8,1119.862
genuine,43,1506,398,2.697,1123.015
genuine,44,1479,394,2.697,1137.042
genuine,45,1488,395,2.698,1123.709
genuine,46,1476,388,2.726,1119.837
genuine,47,1482,388,2.689,1117.943
genuine,48,1494,396,2.694,1120.454
genuine,49,1473,388,2.697,1121.168
genuine,50,1485,394,2.695,1126.144
genuine,51,1467,389,2.7,1114.427
genuine,52,1482,391,2.704,1118.114
genuine,53,1467,389,2.691,1116.718
genuine,54,1476,382,2.689,1121.696
genuine,55,1467,382,2.705,1112.293
genuine,56,1494,388,2.697,1121.183
genuine,57,1482,382,2.7,1115.79
genuine,58,1488,397,2.71,1121.281
genuine,59,1485,380,2.698,1115.892
genuine,60,1467,379,2.702,1111.868
genuine,61,1482,378,2.694,1123.054
genuine,62,1479,384,2.697,1129.125
genuine,63,1464,385,2.686,1102.023
malicious,0,46836,46836,0.001,2.784
