Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,6680,5335,9.627,638.132
genuine,1,6710,5359,6.825,620.24
genuine,2,6720,5371,12.532,637.374
genuine,3,6630,5299,25.718,648.828
genuine,4,6760,5403,6.408,620.98
genuine,5,6680,5335,9.357,641.286
genuine,6,6720,5369,11.802,642.967
genuine,7,6750,5396,10.411,658.324
genuine,8,6830,5458,11.513,644.522
genuine,9,6690,5347,12.094,677.978
genuine,10,6590,5266,7.883,638.744
genuine,11,6630,5300,5.728,616.242
genuine,12,6650,5312,6.171,641.264
genuine,13,6770,5410,16.014,680.64
genuine,14,6660,5320,11.073,616.306
genuine,15,6830,5453,13.179,666.705
malicious,0,40373,40373,12.511,889.043
