Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,4881,1510,2.95,4389.787
genuine,1,4995,1565,9.936,4536.365
genuine,2,4926,1547,11.751,4498.806
genuine,3,4890,1530,8.446,4460.129
genuine,4,4893,1532,2.947,4458.482
genuine,5,4917,1538,2.932,4509.117
genuine,6,4890,1530,2.928,4427.115
genuine,7,4878,1526,2.957,4487.208
genuine,8,4968,1556,2.943,4505.614
genuine,9,4857,1519,2.954,4467.76
genuine,10,4914,1532,2.933,4492.444
genuine,11,4917,1538,5.241,4512.07
genuine,12,4872,1518,2.947,4466.693
genuine,13,4878,1525,2.961,4454.277
genuine,14,4944,1546,2.933,4495.177
genuine,15,4926,1542,6.419,4524.051
malicious,0,174936,174936,0.034,10.719
