Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,2148,1074,1.573,718.591,718.472,1.573
insert_find,1,2066,1033,1.598,693.524,693.398,1.598
insert_find,2,2206,1103,1.553,769.46,769.325,1.553
insert_find,3,2184,1092,1.598,768.269,768.145,1.598
insert_find,4,2142,1071,1.59,772.595,772.46,1.59
insert_find,5,2186,1093,1.612,752.958,752.83,1.612
insert_find,6,2194,1097,1.598,787.204,787.096,1.598
insert_find,7,1794,897,1.582,617.047,616.944,1.582
insert_find,8,2200,1100,1.589,780.89,780.777,1.589
insert_find,9,2148,1074,1.616,762.683,762.57,1.616
insert_find,10,1984,992,1.568,712.402,712.294,1.568
insert_find,11,2134,1067,1.565,745.897,745.773,1.565
insert_find,12,2186,1093,1.559,769.18,769.06,1.559
insert_find,13,2210,1105,1.574,777.699,777.58,1.574
insert_find,14,2160,1080,1.546,668.352,668.233,1.546
insert_find,15,1702,851,1.598,573.063,572.952,1.598
malicious,0,124069,124069,0.019,7.574,0.0,0.0
