Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,6972,1155,9.693,708.331
genuine,1,7080,1172,9.673,745.927
genuine,2,7200,1194,5.078,744.645
genuine,3,7074,1171,6.127,734.491
genuine,4,7200,1195,8.17,752.91
genuine,5,6972,1160,6.011,744.384
genuine,6,6984,1154,4.774,704.359
genuine,7,7158,1188,4.879,736.56
genuine,8,7158,1183,6.288,764.754
genuine,9,7026,1169,5.972,698.246
genuine,10,6882,1140,4.765,732.142
genuine,11,6900,1144,4.683,702.719
genuine,12,6888,1142,7.333,733.932
genuine,13,7092,1173,7.123,736.557
genuine,14,7044,1165,6.519,732.055
genuine,15,6960,1153,6.412,748.347
malicious,0,40408,40408,9.083,830.97
