Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1131,274,1.881,551.348
genuine,1,1131,275,1.869,555.667
genuine,2,1119,280,1.863,551.158
genuine,3,1128,278,1.883,555.343
genuine,4,1110,271,1.876,556.749
genuine,5,1134,274,1.865,556.262
genuine,6,1140,282,1.875,563.478
genuine,7,1122,282,1.887,556.891
genuine,8,1128,267,1.875,555.065
genuine,9,1110,273,1.878,552.819
genuine,10,1116,268,1.868,557.432
genuine,11,1104,274,1.89,549.038
genuine,12,1116,268,1.882,553.753
genuine,13,1128,272,1.86,557.71
genuine,14,1113,263,1.864,549.063
genuine,15,1113,268,1.858,552.513
genuine,16,1143,274,1.878,554.316
genuine,17,1107,271,1.866,551.392
genuine,18,1122,266,1.873,561.077
genuine,19,1128,275,1.865,552.997
genuine,20,1110,268,1.872,546.245
genuine,21,1128,276,1.968,559.539
genuine,22,1119,263,1.871,554.707
genuine,23,1110,258,1.883,554.562
genuine,24,1110,265,1.87,552.252
genuine,25,1107,276,1.874,555.455
genuine,26,1113,263,1.883,552.434
genuine,27,1104,258,1.877,555.752
genuine,28,1119,274,1.897,560.075
genuine,29,1122,275,1.891,560.657
genuine,30,1122,272,1.894,559.286
genuine,31,1113,264,1.866,554.703
genuine,32,1116,268,1.863,556.761
genuine,33,1104,263,1.873,554.209
genuine,34,1095,270,1.866,555.122
genuine,35,1098,262,1.856,549.089
genuine,36,1119,281,1.86,559.472
genuine,37,1092,257,1.883,544.635
genuine,38,1104,269,1.871,550.684
genuine,39,1101,268,1.88,547.837
genuine,40,1110,280,1.864,555.641
genuine,41,1122,277,1.871,555.77
genuine,42,1122,271,1.885,553.236
genuine,43,1089,265,1.868,551.017
genuine,44,1122,262,1.881,555.571
genuine,45,1098,270,1.87,548.85
genuine,46,1101,265,1.869,549.053
genuine,47,1101,267,1.87,552.506
genuine,48,1125,284,1.865,560.679
genuine,49,1092,248,1.862,547.784
genuine,50,1107,269,1.896,548.625
genuine,51,1113,262,1.87,555.346
genuine,52,1113,270,1.876,550.143
genuine,53,1116,283,1.876,556.9
genuine,54,1095,274,1.872,546.207
genuine,55,1113,259,1.874,547.115
genuine,56,1113,266,1.866,544.41
genuine,57,1107,262,1.892,550.911
genuine,58,1098,261,1.893,555.504
genuine,59,1098,269,1.861,546.793
genuine,60,1131,263,1.863,553.524
genuine,61,1101,261,1.892,557.291
genuine,62,1101,269,1.863,552.067
genuine,63,1095,259,1.869,546.939
malicious,0,33189,33189,0.009,2.032
