Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,5604,1860,10.699,721.486
genuine,1,5712,1893,11.215,718.423
genuine,2,5760,1914,12.495,717.346
genuine,3,5676,1890,7.816,681.577
genuine,4,5748,1913,9.815,686.508
genuine,5,5592,1862,9.589,687.793
genuine,6,5592,1858,8.972,702.532
genuine,7,5640,1874,13.614,688.331
genuine,8,5640,1871,10.422,693.468
genuine,9,5460,1815,12.155,658.458
genuine,10,5640,1876,7.812,645.891
genuine,11,5604,1858,5.409,653.09
genuine,12,5640,1871,8.957,698.669
genuine,13,5712,1897,8.168,678.051
genuine,14,5736,1902,8.242,667.654
genuine,15,5652,1875,11.383,694.796
malicious,0,34219,34219,13.151,851.905
