Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1320,872,8.166,223.433
genuine,1,1218,808,16.642,254.563
genuine,2,1296,855,11.894,206.572
genuine,3,1272,838,12.191,228.876
genuine,4,1230,813,6.371,211.745
genuine,5,1296,856,8.952,227.6
genuine,6,1308,865,16.036,228.713
genuine,7,1302,861,12.684,224.507
genuine,8,1230,813,9.613,208.39
genuine,9,1266,838,8.626,199.365
genuine,10,1272,840,8.264,202.521
genuine,11,1296,858,7.472,214.293
genuine,12,1212,801,13.584,211.433
genuine,13,1272,842,7.911,220.916
genuine,14,1254,831,13.073,206.578
genuine,15,1272,844,9.348,188.434
genuine,16,1248,828,15.565,258.311
genuine,17,1320,874,7.709,216.808
genuine,18,1218,808,12.593,225.713
genuine,19,1206,799,9.815,224.392
genuine,20,1230,815,10.867,200.51
genuine,21,1266,840,8.279,203.205
genuine,22,1296,856,13.14,235.288
genuine,23,1296,858,8.487,230.044
genuine,24,1248,825,14.679,230.214
genuine,25,1242,823,5.886,186.604
genuine,26,1236,818,5.168,196.015
genuine,27,1326,879,6.831,196.25
genuine,28,1356,897,6.298,212.759
genuine,29,1212,802,11.076,189.987
genuine,30,1314,866,13.436,214.362
genuine,31,1242,820,5.888,211.101
genuine,32,1224,808,5.921,174.421
genuine,33,1302,860,7.784,196.016
genuine,34,1254,831,7.958,201.077
genuine,35,1308,863,6.03,205.481
genuine,36,1368,902,5.68,185.102
genuine,37,1242,821,8.46,209.132
genuine,38,1230,807,9.321,208.794
genuine,39,1284,849,4.593,176.499
genuine,40,1230,810,7.747,185.762
genuine,41,1230,810,3.826,171.919
genuine,42,1284,843,10.789,239.362
genuine,43,1182,776,2.889,173.39
genuine,44,1266,833,7.084,174.531
genuine,45,1248,825,7.323,212.317
genuine,46,1224,807,10.197,226.983
genuine,47,1242,820,12.513,217.855
genuine,48,1314,868,11.434,250.872
genuine,49,1224,804,6.73,184.34
genuine,50,1236,813,8.631,208.23
genuine,51,1260,827,9.193,214.831
genuine,52,1326,872,7.069,218.026
genuine,53,1332,879,5.069,204.773
genuine,54,1194,786,6.052,194.461
genuine,55,1242,817,6.666,190.04
genuine,56,1260,830,16.914,241.534
genuine,57,1248,821,10.677,220.679
genuine,58,1266,834,7.497,222.659
genuine,59,1188,779,12.636,210.761
genuine,60,1170,762,6.026,184.134
genuine,61,1218,799,9.268,205.227
genuine,62,1212,787,8.282,220.72
genuine,63,1158,747,8.843,193.257
malicious,0,12011,12011,12.898,298.168
