Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,5072,2521,12.162,738.889
genuine,1,5088,2537,8.317,626.615
genuine,2,5136,2563,8.991,701.957
genuine,3,5184,2587,10.128,726.451
genuine,4,4992,2490,14.832,740.561
genuine,5,5136,2562,9.461,720.366
genuine,6,5040,2517,12.964,689.209
genuine,7,5152,2571,10.847,654.358
genuine,8,5104,2547,12.928,707.896
genuine,9,5008,2498,8.442,710.96
genuine,10,5008,2494,8.589,628.423
genuine,11,5024,2508,8.562,713.315
genuine,12,5216,2603,7.836,692.977
genuine,13,5264,2625,10.309,698.426
genuine,14,5104,2543,9.312,687.403
genuine,15,5008,2495,11.629,658.357
malicious,0,31282,31282,13.257,840.385
