Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,960,480,0.689,132.166,132.117,0.689
insert_find,1,980,490,0.693,125.489,125.437,0.693
insert_find,2,908,454,0.689,118.559,118.509,0.689
insert_find,3,988,494,0.691,134.156,134.104,0.691
insert_find,4,996,498,0.684,130.554,130.503,0.684
insert_find,5,980,490,0.678,131.177,131.125,0.678
insert_find,6,974,487,0.694,139.671,139.61,0.694
insert_find,7,964,482,0.697,132.237,132.191,0.697
insert_find,8,1032,516,0.703,140.661,140.609,0.703
insert_find,9,992,496,0.677,135.328,135.279,0.677
insert_find,10,1032,516,0.697,137.405,137.354,0.697
insert_find,11,890,445,0.709,123.532,123.471,0.709
insert_find,12,962,481,0.68,128.612,128.566,0.68
insert_find,13,992,496,0.698,135.157,135.106,0.698
insert_find,14,750,375,0.71,69.649,69.613,0.71
insert_find,15,970,485,0.706,127.312,127.263,0.706
malicious,0,51100,51100,0.0,3.09,0.0,0.0
