Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,6360,2532,9.839,736.768
genuine,1,6340,2530,11.285,727.895
genuine,2,6060,2417,19.116,729.615
genuine,3,6300,2516,9.584,751.208
genuine,4,6240,2494,7.02,706.128
genuine,5,6240,2490,10.204,709.861
genuine,6,6320,2521,14.825,779.475
genuine,7,6200,2473,6.26,729.908
genuine,8,6460,2578,6.688,716.041
genuine,9,6240,2488,15.797,750.896
genuine,10,6200,2473,6.509,731.295
genuine,11,6400,2555,10.671,767.658
genuine,12,6520,2603,9.806,734.048
genuine,13,6420,2559,8.151,736.528
genuine,14,6320,2520,8.154,729.223
genuine,15,6360,2536,10.218,811.353
malicious,0,38095,38095,13.451,875.014
