Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1666,773,5.465,220.476
genuine,1,1615,750,15.059,232.625
genuine,2,1564,733,8.968,223.071
genuine,3,1649,767,5.551,241.404
genuine,4,1683,785,7.819,241.448
genuine,5,1649,771,10.841,236.88
genuine,6,1683,786,5.45,214.71
genuine,7,1598,745,5.169,239.491
genuine,8,1666,776,6.209,216.041
genuine,9,1683,786,5.231,229.852
genuine,10,1581,738,6.26,215.915
genuine,11,1700,793,9.217,254.359
genuine,12,1649,769,3.399,212.861
genuine,13,1564,728,5.997,222.547
genuine,14,1632,764,4.346,220.892
genuine,15,1700,794,8.711,234.435
genuine,16,1649,772,2.432,237.646
genuine,17,1666,777,3.974,233.52
genuine,18,1700,794,2.578,220.065
genuine,19,1615,754,10.51,244.958
genuine,20,1649,770,9.736,246.291
genuine,21,1632,765,6.277,253.944
genuine,22,1598,747,7.129,230.352
genuine,23,1666,777,9.067,263.336
genuine,24,1615,752,8.026,229.771
genuine,25,1530,716,7.826,232.792
genuine,26,1649,769,10.284,255.819
genuine,27,1598,746,9.456,229.758
genuine,28,1632,764,5.926,246.225
genuine,29,1615,751,10.498,234.054
genuine,30,1598,745,9.267,220.662
genuine,31,1632,758,9.001,226.665
genuine,32,1632,760,7.493,247.449
genuine,33,1598,744,4.699,220.774
genuine,34,1581,734,6.221,227.445
genuine,35,1530,716,9.078,210.748
genuine,36,1564,729,6.824,218.705
genuine,37,1598,746,4.818,236.558
genuine,38,1666,776,8.117,245.963
genuine,39,1649,767,5.514,242.87
genuine,40,1615,752,8.036,228.18
genuine,41,1564,727,6.327,225.352
genuine,42,1632,762,5.493,246.095
genuine,43,1649,769,9.199,255.549
genuine,44,1581,733,6.729,235.092
genuine,45,1632,757,1.929,205.118
genuine,46,1530,712,6.875,207.35
genuine,47,1632,760,7.873,231.121
genuine,48,1530,715,12.889,218.697
genuine,49,1666,773,15.459,228.67
genuine,50,1598,743,7.0,220.989
genuine,51,1598,742,6.466,246.542
genuine,52,1683,781,6.824,250.502
genuine,53,1530,710,7.519,225.072
genuine,54,1615,752,6.118,218.469
genuine,55,1598,738,4.152,214.202
genuine,56,1530,707,5.663,234.931
genuine,57,1598,738,4.984,231.761
genuine,58,1581,729,4.997,229.958
genuine,59,1564,719,7.699,246.28
genuine,60,1598,730,6.123,222.446
genuine,61,1513,696,5.026,205.234
genuine,62,1598,732,2.726,214.447
genuine,63,1632,748,9.624,248.283
malicious,0,11711,11711,7.791,210.74
