Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2227,118,7.327,162.357
genuine,1,2227,128,8.235,167.251
genuine,2,2142,116,3.372,160.486
genuine,3,2159,124,6.026,174.023
genuine,4,2057,115,7.09,158.168
genuine,5,2074,115,7.411,157.587
genuine,6,2108,120,3.512,148.618
genuine,7,2142,114,8.179,171.112
genuine,8,2023,110,7.645,152.043
genuine,9,2159,118,5.018,168.315
genuine,10,2125,116,7.389,140.206
genuine,11,2176,119,5.657,158.757
genuine,12,2125,115,9.193,167.262
genuine,13,2193,123,4.819,151.277
genuine,14,2091,118,8.836,160.582
genuine,15,2159,119,4.237,153.849
genuine,16,2142,122,5.518,154.951
genuine,17,2193,120,7.275,166.132
genuine,18,1989,113,5.719,165.174
genuine,19,2108,123,8.587,166.452
genuine,20,2210,126,6.993,169.204
genuine,21,2108,116,7.256,159.256
genuine,22,2159,123,5.952,166.14
genuine,23,2142,117,3.856,155.768
genuine,24,2108,120,6.049,146.478
genuine,25,2074,117,3.218,147.381
genuine,26,2159,124,6.781,163.277
genuine,27,2091,120,8.803,145.575
genuine,28,2159,119,5.816,167.615
genuine,29,2108,119,12.102,163.757
genuine,30,2159,116,8.082,160.632
genuine,31,2023,115,7.484,151.089
genuine,32,2040,112,9.788,156.266
genuine,33,2159,120,7.107,161.323
genuine,34,2057,115,5.898,171.789
genuine,35,2159,116,5.213,161.049
genuine,36,2142,122,4.076,151.762
genuine,37,2091,109,5.046,152.472
genuine,38,2176,123,6.906,168.622
genuine,39,2159,120,5.538,167.506
genuine,40,2074,117,7.371,183.188
genuine,41,2125,117,7.079,158.046
genuine,42,2057,111,8.532,179.945
genuine,43,2125,120,11.933,183.192
genuine,44,2091,117,8.592,183.222
genuine,45,2176,117,7.212,161.5
genuine,46,2091,113,4.215,152.534
genuine,47,2176,118,2.501,166.066
genuine,48,2006,109,8.237,142.461
genuine,49,2040,111,5.083,156.889
genuine,50,2176,119,4.118,160.935
genuine,51,2091,114,6.222,157.576
genuine,52,2057,114,11.203,156.264
genuine,53,2125,109,11.355,166.209
genuine,54,2074,105,3.954,154.928
genuine,55,2074,114,7.607,169.228
genuine,56,2142,115,6.056,176.411
genuine,57,2074,105,8.236,157.986
genuine,58,2210,114,3.201,163.028
genuine,59,2108,113,1.378,133.925
genuine,60,2108,109,10.481,170.659
genuine,61,2091,106,10.551,185.523
genuine,62,2057,100,8.594,153.127
genuine,63,2074,87,4.556,154.974
malicious,0,11497,11497,6.135,244.919
