Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,1292,646,0.414,115.49,115.372,0.414
insert_find,1,1336,668,0.408,119.637,119.513,0.408
insert_find,2,1366,683,0.429,103.565,103.454,0.429
insert_find,3,1228,614,0.398,109.941,109.833,0.398
insert_find,4,1324,662,0.446,118.581,118.45,0.446
insert_find,5,1270,635,0.426,113.44,113.29,0.426
insert_find,6,1212,606,0.401,108.143,108.033,0.401
insert_find,7,1330,665,0.413,123.286,123.161,0.413
insert_find,8,1238,619,0.412,111.183,111.054,0.412
insert_find,9,1304,652,0.411,119.643,119.524,0.411
insert_find,10,1310,655,0.404,119.135,119.012,0.404
insert_find,11,1336,668,0.41,121.521,121.389,0.41
insert_find,12,1366,683,0.407,124.0,123.875,0.407
insert_find,13,1270,635,0.411,113.953,113.836,0.411
insert_find,14,1330,665,0.409,119.154,119.04,0.409
insert_find,15,1312,656,0.411,116.104,115.981,0.411
