Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,8064,4032,2.247,4569.445,4568.66,2.247
insert_find,1,8172,4086,3.11,4626.376,4625.591,3.11
insert_find,2,8004,4002,2.247,4599.542,4598.753,2.247
insert_find,3,8094,4047,2.248,4581.23,4580.242,2.248
insert_find,4,8104,4052,3.018,4654.157,4653.386,3.018
insert_find,5,8126,4063,3.685,4643.513,4642.729,3.685
insert_find,6,8080,4040,2.266,4604.179,4603.353,2.266
insert_find,7,8086,4043,2.269,4618.527,4617.753,2.269
insert_find,8,8074,4037,2.28,4617.266,4616.461,2.28
insert_find,9,8094,4047,2.249,4625.385,4624.569,2.249
insert_find,10,8126,4063,2.298,4609.322,4608.505,2.298
insert_find,11,8074,4037,2.247,4535.556,4534.758,2.247
insert_find,12,7996,3998,2.252,4593.018,4592.205,2.252
insert_find,13,7864,3932,2.257,4455.373,4454.581,2.257
insert_find,14,8056,4028,3.924,4567.259,4566.444,3.924
insert_find,15,8052,4026,2.257,4585.02,4584.208,2.257
