Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,237,72,17.765,465.239
genuine,1,240,74,19.848,465.047
genuine,2,240,75,24.285,474.495
genuine,3,213,68,21.971,463.507
genuine,4,234,71,17.51,420.443
genuine,5,225,69,49.346,459.843
genuine,6,255,81,22.859,436.852
genuine,7,243,74,18.677,474.78
genuine,8,234,72,16.176,435.661
genuine,9,210,66,35.766,511.877
genuine,10,234,69,19.759,433.36
genuine,11,237,72,13.778,411.685
genuine,12,234,71,17.148,443.323
genuine,13,228,71,93.367,545.988
genuine,14,240,71,19.917,454.69
genuine,15,195,63,10.965,398.814
genuine,16,228,72,16.536,438.539
genuine,17,225,64,61.588,455.99
genuine,18,234,71,20.177,497.017
genuine,19,219,67,14.242,404.266
genuine,20,228,72,26.98,453.837
genuine,21,225,70,41.908,492.227
genuine,22,201,65,34.525,493.766
genuine,23,213,66,55.854,495.899
genuine,24,228,68,26.567,506.075
genuine,25,219,67,16.072,413.596
genuine,26,231,70,23.782,446.752
genuine,27,243,76,20.015,478.151
genuine,28,237,66,18.333,425.954
genuine,29,213,67,17.137,439.521
genuine,30,213,66,17.246,395.223
genuine,31,225,68,16.301,412.412
genuine,32,258,72,35.729,484.823
genuine,33,234,73,14.099,463.254
genuine,34,240,68,35.566,480.589
genuine,35,222,70,19.811,431.818
genuine,36,228,66,119.892,590.666
genuine,37,234,73,15.593,448.113
genuine,38,246,70,12.158,430.233
genuine,39,234,67,23.02,467.187
genuine,40,234,71,13.995,439.846
genuine,41,237,72,16.303,494.587
genuine,42,225,62,15.268,442.004
genuine,43,249,73,18.488,442.479
genuine,44,222,69,15.467,452.07
genuine,45,219,68,19.904,455.427
genuine,46,228,67,15.094,441.232
genuine,47,234,67,22.05,454.957
genuine,48,222,64,14.817,421.228
genuine,49,243,72,48.71,472.471
genuine,50,231,67,76.188,506.69
genuine,51,216,64,26.537,411.122
genuine,52,249,69,21.315,455.92
genuine,53,234,66,26.124,459.372
genuine,54,234,63,12.22,417.476
genuine,55,222,66,41.702,491.792
genuine,56,237,64,19.381,486.502
genuine,57,231,67,17.284,466.547
genuine,58,225,59,11.574,395.557
genuine,59,246,60,29.399,487.613
genuine,60,231,62,17.486,463.38
genuine,61,222,60,16.304,442.399
genuine,62,228,59,20.132,466.336
genuine,63,228,59,29.303,466.751
malicious,0,1445908,1445908,0.59,33.93
