Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1802,831,4.667,227.778
genuine,1,1598,747,6.329,209.429
genuine,2,1700,789,4.173,226.228
genuine,3,1734,805,2.932,203.791
genuine,4,1632,758,2.867,218.581
genuine,5,1581,734,4.772,204.533
genuine,6,1666,780,9.618,224.235
genuine,7,1717,801,4.585,220.565
genuine,8,1666,780,2.888,208.101
genuine,9,1632,757,2.996,228.806
genuine,10,1581,733,3.278,204.42
genuine,11,1649,771,3.84,212.924
genuine,12,1649,770,6.973,228.639
genuine,13,1649,768,4.473,220.703
genuine,14,1632,760,4.575,221.059
genuine,15,1632,763,2.443,222.44
genuine,16,1649,766,3.179,223.134
genuine,17,1615,756,7.265,229.055
genuine,18,1666,777,3.833,219.237
genuine,19,1615,754,7.004,217.877
genuine,20,1717,800,4.767,223.692
genuine,21,1615,755,7.996,210.859
genuine,22,1649,768,6.121,226.147
genuine,23,1666,776,3.027,229.697
genuine,24,1683,788,5.354,235.549
genuine,25,1649,770,10.584,231.197
genuine,26,1666,777,5.497,233.202
genuine,27,1649,770,8.619,230.473
genuine,28,1700,793,3.078,221.874
genuine,29,1649,773,4.906,217.925
genuine,30,1564,735,5.304,197.685
genuine,31,1700,799,7.141,214.057
genuine,32,1598,748,4.968,220.796
genuine,33,1547,728,3.418,201.788
genuine,34,1666,775,7.262,231.565
genuine,35,1632,758,7.57,225.932
genuine,36,1581,736,3.76,208.896
genuine,37,1598,749,6.609,208.498
genuine,38,1683,784,7.735,238.187
genuine,39,1649,772,4.918,227.605
genuine,40,1649,764,3.086,216.035
genuine,41,1717,798,3.677,217.999
genuine,42,1615,754,5.75,219.292
genuine,43,1632,765,5.183,216.61
genuine,44,1632,763,8.165,243.17
genuine,45,1649,762,4.022,218.257
genuine,46,1683,790,4.541,231.378
genuine,47,1649,776,6.048,229.385
genuine,48,1530,717,7.077,225.423
genuine,49,1581,736,4.746,204.611
genuine,50,1632,760,5.644,208.228
genuine,51,1649,761,6.356,226.411
genuine,52,1649,758,3.1,204.006
genuine,53,1649,767,10.229,216.965
genuine,54,1649,763,7.1,227.989
genuine,55,1649,762,5.793,233.131
genuine,56,1615,747,3.87,203.469
genuine,57,1632,754,3.127,220.012
genuine,58,1632,753,4.604,211.902
genuine,59,1530,703,4.249,212.846
genuine,60,1649,757,3.007,208.958
genuine,61,1615,735,5.852,215.881
genuine,62,1632,745,4.328,215.664
genuine,63,1581,717,5.79,225.12
malicious,0,11569,11569,7.386,228.76
