Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,5772,3543,13.563,638.163
genuine,1,5889,3620,9.593,679.179
genuine,2,6084,3732,12.201,723.997
genuine,3,6058,3722,12.945,711.949
genuine,4,5889,3615,8.937,641.9
genuine,5,5798,3562,11.565,666.809
genuine,6,5941,3650,7.003,651.254
genuine,7,5954,3661,7.294,623.355
genuine,8,6006,3690,9.794,695.509
genuine,9,5837,3587,6.552,598.972
genuine,10,5863,3604,7.343,638.433
genuine,11,5993,3681,8.749,721.558
genuine,12,5811,3572,9.629,686.071
genuine,13,5863,3601,13.354,690.832
genuine,14,5902,3625,8.073,641.496
genuine,15,5798,3556,8.752,662.059
malicious,0,34579,34579,11.719,924.991
