Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2470,187,2.939,166.472
genuine,1,2535,191,12.002,183.426
genuine,2,2639,189,2.307,166.211
genuine,3,2639,195,2.049,167.772
genuine,4,2509,183,1.512,154.485
genuine,5,2548,191,3.613,169.224
genuine,6,2509,187,7.293,175.496
genuine,7,2587,188,2.502,186.312
genuine,8,2600,194,5.003,183.176
genuine,9,2535,190,1.206,167.063
genuine,10,2496,182,2.314,164.031
genuine,11,2600,195,2.561,170.769
genuine,12,2665,200,1.489,174.556
genuine,13,2535,191,4.295,172.076
genuine,14,2522,191,1.422,160.067
genuine,15,2613,195,1.988,168.902
genuine,16,2444,185,2.366,167.758
genuine,17,2587,194,4.035,182.605
genuine,18,2496,190,3.715,163.61
genuine,19,2470,184,2.721,182.731
genuine,20,2600,191,3.403,168.952
genuine,21,2509,185,6.342,174.917
genuine,22,2496,181,4.168,165.419
genuine,23,2431,180,2.172,166.577
genuine,24,2522,186,6.47,186.781
genuine,25,2548,191,3.12,170.832
genuine,26,2470,184,2.562,157.87
genuine,27,2444,185,1.457,167.401
genuine,28,2522,185,2.246,173.357
genuine,29,2561,185,2.147,164.813
genuine,30,2561,190,2.085,166.634
genuine,31,2548,192,2.398,171.098
genuine,32,2535,189,3.124,162.013
genuine,33,2496,184,2.428,169.577
genuine,34,2561,182,2.546,167.583
genuine,35,2444,182,6.642,167.281
genuine,36,2509,187,8.587,195.618
genuine,37,2548,194,1.232,172.426
genuine,38,2470,180,2.058,165.267
genuine,39,2444,182,2.904,161.281
genuine,40,2470,184,1.842,162.471
genuine,41,2561,193,1.228,160.142
genuine,42,2444,177,3.342,165.451
genuine,43,2509,184,8.033,189.471
genuine,44,2444,185,5.471,170.998
genuine,45,2483,185,1.484,161.026
genuine,46,2548,184,1.779,169.495
genuine,47,2509,184,3.33,169.55
genuine,48,2470,178,1.558,148.415
genuine,49,2483,182,2.626,167.992
genuine,50,2522,177,2.189,163.06
genuine,51,2496,185,7.775,175.366
genuine,52,2444,178,5.893,168.359
genuine,53,2379,170,2.896,165.303
genuine,54,2470,174,2.67,167.627
genuine,55,2444,176,2.482,175.286
genuine,56,2574,183,1.99,166.734
genuine,57,2600,183,2.472,174.431
genuine,58,2509,181,2.383,175.264
genuine,59,2535,184,2.149,168.236
genuine,60,2444,164,6.491,176.733
genuine,61,2613,188,4.173,174.998
genuine,62,2574,175,3.679,162.631
genuine,63,2431,164,3.659,170.744
malicious,0,11430,11430,7.017,210.034
