Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,5148,2276,8.273,617.544
genuine,1,5166,2282,10.017,611.025
genuine,2,5328,2361,6.86,630.389
genuine,3,5301,2352,10.492,693.678
genuine,4,5256,2333,8.052,617.888
genuine,5,5184,2296,12.36,641.907
genuine,6,5202,2310,10.381,700.092
genuine,7,5112,2267,14.144,625.463
genuine,8,5085,2255,11.437,683.591
genuine,9,5256,2327,10.056,630.2
genuine,10,5337,2365,16.651,668.555
genuine,11,5085,2259,13.463,682.784
genuine,12,5256,2330,14.64,672.154
genuine,13,5184,2299,10.602,689.325
genuine,14,5202,2304,7.273,647.265
genuine,15,5175,2289,9.795,672.652
malicious,0,32778,32778,20.707,948.271
