Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2000,387,3.733,204.71
genuine,1,2040,393,4.602,213.542
genuine,2,1980,392,1.394,182.201
genuine,3,1900,376,3.093,188.461
genuine,4,2080,400,3.113,193.167
genuine,5,1980,388,2.647,199.453
genuine,6,1960,387,2.804,204.567
genuine,7,2000,388,2.574,197.064
genuine,8,1940,381,2.69,187.253
genuine,9,1980,385,2.2,206.973
genuine,10,1900,374,5.357,193.51
genuine,11,1880,368,3.868,187.048
genuine,12,1980,393,1.997,193.931
genuine,13,2060,409,3.726,207.263
genuine,14,1960,385,2.568,193.424
genuine,15,1900,377,3.782,191.796
genuine,16,2000,388,3.388,191.767
genuine,17,1940,381,4.659,182.493
genuine,18,1980,384,2.812,186.307
genuine,19,2020,398,2.782,194.793
genuine,20,1960,387,5.886,203.919
genuine,21,1980,385,6.67,190.427
genuine,22,1920,376,3.289,182.2
genuine,23,1960,386,7.697,221.843
genuine,24,1920,380,3.842,192.536
genuine,25,2020,393,10.762,213.486
genuine,26,2000,391,1.78,191.629
genuine,27,2120,417,4.57,194.435
genuine,28,1960,383,2.355,177.93
genuine,29,1960,388,3.746,202.261
genuine,30,1960,387,4.91,217.428
genuine,31,1880,367,5.376,190.524
genuine,32,1940,382,3.292,192.563
genuine,33,1940,381,3.751,188.698
genuine,34,1980,387,9.723,204.407
genuine,35,1880,370,3.537,185.383
genuine,36,1980,395,5.898,212.049
genuine,37,1840,364,4.021,175.669
genuine,38,1880,372,3.577,193.357
genuine,39,1980,387,3.989,192.617
genuine,40,2040,405,2.792,198.829
genuine,41,1960,380,6.461,198.294
genuine,42,1980,386,2.893,201.172
genuine,43,1940,375,2.578,187.97
genuine,44,1940,382,3.562,200.667
genuine,45,2020,390,5.538,207.595
genuine,46,1960,384,6.351,205.802
genuine,47,1940,383,2.895,195.895
genuine,48,1960,387,4.873,201.418
genuine,49,2000,390,3.439,199.306
genuine,50,2000,389,3.8,214.996
genuine,51,1940,379,4.303,192.315
genuine,52,2040,394,4.325,203.288
genuine,53,1920,378,4.892,194.461
genuine,54,1960,383,11.79,225.94
genuine,55,1940,379,6.609,209.347
genuine,56,1900,376,3.205,189.274
genuine,57,2040,398,3.837,201.027
genuine,58,1940,379,4.326,196.481
genuine,59,1860,352,5.362,199.771
genuine,60,1900,364,2.54,191.525
genuine,61,1840,348,4.128,202.529
genuine,62,1980,376,5.242,202.364
genuine,63,1900,356,3.394,203.173
malicious,0,11169,11169,7.269,229.902
