Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,214953,0,0.194,16605.312
find,1,131911,0,0.339,9610.591
find,2,185567,0,0.328,13226.544
find,3,166958,0,0.606,11455.859
find,4,103103,0,0.405,7481.353
find,5,68075,0,0.163,3842.991
find,6,143568,0,0.662,10538.591
find,7,62353,0,0.187,3595.852
insert,0,1311,1311,0.001,0.087
insert,1,1721,1721,0.009,0.105
insert,2,2191,2191,0.002,0.13
insert,3,2223,2223,0.011,0.137
insert,4,1574,1574,0.001,0.093
insert,5,2980,2980,0.004,0.156
insert,6,1318,1318,0.001,0.087
insert,7,2445,2445,0.0,0.115
