Type of thread,Thread Id,Number of Operations,LHT Time
find,0,286364,10393.348
find,0,285948,10398.151
find,0,286320,10387.392
insert,0,9416681,2048.549
insert,1,9915893,2150.557
insert,1,10499188,2684.224
insert,1,11857012,2544.415
insert,1,9582186,2076.059
insert,2,8861423,3566.384
insert,2,7090734,5276.612
insert,2,9589789,2605.72
insert,2,10081678,2209.278
insert,3,8648682,3563.271
insert,3,11213075,2466.504
insert,3,6519001,5727.796
insert,3,10592346,2120.655
