Type of thread,Thread Id,Number of Operations,LHT Time
find,0,103580,10640.757
find,0,104361,10641.033
find,0,99994,10643.231
insert,0,6656444,3509.308
insert,1,4123234,6374.303
insert,1,3558864,6297.082
insert,1,3559011,5905.527
insert,1,5602616,3408.038
insert,2,5085359,4467.537
insert,2,4164691,5290.061
insert,2,5517953,4332.478
insert,2,4001369,5907.939
insert,3,6005030,3441.775
insert,3,5649645,3868.787
insert,3,3858328,6131.322
insert,3,4383993,5272.913
insert,4,7012090,5876.602
insert,4,7086700,4948.146
insert,4,7774235,5464.27
insert,4,5414034,4875.146
insert,5,3916253,6026.653
insert,5,3757937,5527.661
insert,5,4319321,4885.062
insert,5,3753438,6123.425
insert,6,5626780,3437.794
insert,6,4975749,5688.358
insert,6,7102732,4408.536
insert,6,5748647,4000.717
insert,7,4828027,4434.431
insert,7,3226098,5925.367
insert,7,3992716,6075.821
insert,7,3942707,5491.668
insert,8,3117520,7296.071
insert,8,3246688,7159.709
insert,8,3390518,6989.342
insert,8,5022561,5030.507
insert,9,4913280,4649.8
insert,9,3975627,4638.334
insert,9,4624888,4734.002
insert,9,5018460,4244.822
