Type of thread,Thread Id,Number of Operations,LHT Time
find,0,135958,10565.993
find,0,129998,10548.844
find,0,133880,10543.747
find,1,135800,10618.052
find,1,135405,10613.553
find,1,138738,10609.214
find,2,146855,10611.941
find,2,149406,10576.133
find,2,144539,10614.511
find,3,118991,10629.162
find,3,119445,10630.7
find,3,119475,10631.69
insert,0,9990040,1991.045
insert,1,7769872,2702.936
insert,2,8445689,2574.074
insert,3,7738182,3002.633
insert,4,4553177,7228.535
insert,4,9413625,3077.981
insert,4,9308237,3297.838
insert,4,6300093,5876.231
insert,5,5246603,6462.947
insert,5,8105575,2774.562
insert,5,8124768,3299.522
insert,5,5509378,6150.149
insert,6,10479158,2858.756
insert,6,9706391,3089.707
insert,6,10620287,3117.56
insert,6,10497646,2981.267
insert,7,7200734,5520.642
insert,7,9592623,3017.149
insert,7,8569461,4575.6
insert,7,11493486,2707.882
