Type of thread,Thread Id,Number of Operations,LHT Time
find,0,94124,10624.721
find,0,94452,10625.044
find,0,93010,10626.561
find,1,115245,10585.981
find,1,111203,10616.327
find,1,115158,10585.661
find,2,93684,10627.418
find,2,88594,10622.855
find,2,96115,10628.389
find,3,99122,10635.926
find,3,102743,10635.759
find,3,101868,10637.423
insert,0,5069177,2874.169
insert,1,4829897,2320.883
insert,2,5927963,3066.036
insert,3,6543993,3250.544
insert,4,5165581,5317.297
insert,4,6339177,4693.878
insert,4,4580024,5316.745
insert,4,6854985,4753.727
insert,5,4753980,3976.061
insert,5,5871968,2994.923
insert,5,5676407,3749.556
insert,5,4301943,5293.048
insert,6,7633779,2875.942
insert,6,6561254,3183.689
insert,6,4904528,5519.849
insert,6,6293240,4295.47
insert,7,5937350,4272.11
insert,7,7811457,3678.659
insert,7,6829986,3200.51
insert,7,7568170,4583.05
insert,8,7018560,3864.343
insert,8,7741963,3294.467
insert,8,5405020,5758.248
insert,8,9690303,2898.967
insert,9,4114142,5655.031
insert,9,6571625,3158.003
insert,9,5122908,4073.724
insert,9,6193572,4689.223
