Type of thread,Thread Id,Number of Operations,LHT Time
find,0,130656,10566.327
find,0,129554,10574.373
find,0,132452,10597.061
find,1,133483,10576.329
find,1,128736,10588.022
find,1,127447,10583.993
insert,0,5086055,3069.813
insert,1,6084463,2553.588
insert,2,7560902,3063.697
insert,2,7473943,3685.945
insert,2,8060236,2719.606
insert,2,5996054,3397.374
insert,3,8106626,2785.759
insert,3,7260364,3833.11
insert,3,7691517,3173.904
insert,3,6748072,3800.238
insert,4,6951191,4104.753
insert,4,7169704,3780.232
insert,4,6620190,3945.199
insert,4,6455295,4415.322
insert,5,5113420,4838.353
insert,5,7209601,2651.833
insert,5,5012608,5383.312
insert,5,5928006,4180.87
insert,6,7290444,2962.566
insert,6,6273624,3335.053
insert,6,6070285,3706.508
insert,6,5545987,4115.231
insert,7,5935118,4424.715
insert,7,7405691,3448.339
insert,7,4744355,5674.604
insert,7,4912276,4297.538
