Type of thread,Thread Id,Number of Operations,LHT Time
find,0,99799,10634.524
find,0,110512,10637.222
find,0,109264,10636.801
find,1,87887,10634.521
find,1,93639,10636.263
find,1,95556,10636.728
find,2,114682,10626.519
find,2,120157,10630.229
find,2,122147,10628.255
find,3,108519,10626.594
find,3,106056,10625.842
find,3,111338,10627.238
find,4,109964,10626.954
find,4,111221,10629.626
find,4,107496,10630.471
insert,0,6621102,3346.325
insert,1,5939966,3240.614
insert,2,8474113,3017.465
insert,3,7537142,3154.115
insert,4,7503282,3185.63
insert,5,8007581,3618.094
insert,5,3726860,6680.554
insert,5,7380782,3254.923
insert,5,3794877,6593.71
insert,6,5241648,6097.079
insert,6,4146321,6870.595
insert,6,5201599,5886.282
insert,6,3985991,6994.913
insert,7,9206037,3526.98
insert,7,9262982,3491.844
insert,7,9174953,3711.473
insert,7,6446827,5586.15
insert,8,5177344,5733.331
insert,8,4467063,6397.695
insert,8,5011709,5785.238
insert,8,4358064,6550.003
insert,9,8293761,3439.765
insert,9,8241339,2619.879
insert,9,8353621,2992.616
insert,9,5383744,5344.107
