Type of thread,Thread Id,Number of Operations,LHT Time
find,0,131267,10607.618
find,0,135199,10590.528
find,0,134775,10600.29
find,1,171793,10587.388
find,1,182902,10581.224
find,1,180276,10581.722
find,2,173270,10569.305
find,2,166219,10592.044
find,2,170474,10579.397
find,3,140459,10597.009
find,3,141248,10611.095
find,3,140541,10596.116
find,4,96207,10632.413
find,4,96146,10631.139
find,4,95413,10632.234
find,5,119543,10619.955
find,5,119699,10623.643
find,5,111516,10624.634
insert,0,10845401,2329.907
insert,1,10761267,2290.37
insert,2,10354792,2109.187
insert,3,9639201,2111.728
insert,4,8568883,4010.439
insert,5,9558584,3177.419
insert,6,9015543,5119.927
insert,6,12813518,2012.857
insert,6,12911660,2462.441
insert,6,13100003,2330.244
insert,7,9301307,5176.976
insert,7,11873169,3195.124
insert,7,12448248,3447.141
insert,7,12075972,3300.542
