Type of thread,Thread Id,Number of Operations,LHT Time
find,0,99992,10638.759
find,0,105156,10632.466
find,0,99334,10636.333
find,1,102520,10631.987
find,1,97017,10629.943
find,1,100918,10630.774
find,2,133677,10619.353
find,2,136628,10630.661
find,2,137842,10626.103
find,3,99981,10640.024
find,3,101936,10641.069
find,3,99315,10638.078
find,4,111719,10635.339
find,4,111659,10637.071
find,4,112701,10634.329
find,5,91571,10629.577
find,5,95783,10626.596
find,5,89926,10629.114
find,6,91273,10621.385
find,6,93433,10624.137
find,6,87415,10624.989
insert,0,6710816,3021.379
insert,1,7221402,3091.675
insert,2,9278492,2022.737
insert,3,7681525,3608.322
insert,4,8803409,2780.713
insert,5,6768198,3684.902
insert,6,7055682,3782.396
insert,7,10423024,1936.981
insert,7,8672444,5189.449
insert,7,7779831,4708.826
insert,7,9945833,4757.191
insert,8,10967500,3019.528
insert,8,11499410,3446.972
insert,8,7558587,4966.043
insert,8,8399545,4468.638
insert,9,9866489,3223.577
insert,9,8410898,5142.594
insert,9,7705152,4731.716
insert,9,8890828,5004.919
