Type of thread,Thread Id,Number of Operations,LHT Time
find,0,127726,10621.613
find,0,124735,10614.364
find,0,125963,10606.971
find,1,131858,10601.137
find,1,131621,10615.253
find,1,135644,10602.13
find,2,180562,10577.782
find,2,180384,10570.446
find,2,163156,10600.622
find,3,141501,10587.501
find,3,141512,10594.189
find,3,142016,10592.01
find,4,141836,10611.468
find,4,141946,10616.342
find,4,141757,10606.595
find,5,127507,10608.873
find,5,122997,10612.333
find,5,121682,10613.276
find,6,125385,10622.809
find,6,120999,10625.762
find,6,124285,10624.67
insert,0,10059249,2604.575
insert,1,10394090,2529.469
insert,2,12195896,2531.993
insert,3,9819870,2145.311
insert,4,10662848,2317.048
insert,5,9295345,2501.262
insert,6,9819827,3665.331
insert,7,17391668,2742.768
insert,7,16107450,3108.12
insert,7,15695103,2782.606
insert,7,14813864,4026.463
