Type of thread,Thread Id,Number of Operations,LHT Time
find,0,95152,10639.71
find,0,98807,10640.021
find,0,99237,10640.986
find,1,81191,10638.408
find,1,72934,10636.629
find,1,80798,10637.759
insert,0,6854613,3251.797
insert,1,5203160,3524.304
insert,2,6268315,5422.671
insert,2,7010664,4026.467
insert,2,4597857,5459.353
insert,2,6795166,4548.098
insert,3,4164149,5918.757
insert,3,5599057,2871.525
insert,3,3462445,6650.646
insert,3,5700631,3495.874
insert,4,7922159,5181.678
insert,4,8061631,5036.418
insert,4,9140194,4671.865
insert,4,10435144,4195.538
insert,5,5430867,4967.528
insert,5,7126475,3168.7
insert,5,7067849,3872.949
insert,5,6489946,3947.281
insert,6,6030660,4787.757
insert,6,4403042,6048.944
insert,6,5738232,4996.24
insert,6,4052261,6634.277
insert,7,4225813,5862.394
insert,7,6109183,3897.283
insert,7,6343794,5424.377
insert,7,6898925,4889.714
insert,8,9461415,3737.007
insert,8,4812690,6655.975
insert,8,10241563,2963.856
insert,8,4946863,6767.719
insert,9,6478661,4156.645
insert,9,7216427,3964.258
insert,9,7995715,3747.913
insert,9,5803894,4979.611
