Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,288704,10468.033,10711.868
find,0,288594,10452.545,10530.261
find,0,288539,10461.636,10711.945
find,1,288031,10454.85,10713.454
find,1,287077,10461.74,10540.264
find,1,287866,10460.678,10711.346
find,2,282735,10444.502,10717.145
find,2,287308,10467.778,10715.904
find,2,285891,10440.701,10521.461
insert,0,11254243,2450.729,10724.323
insert,1,11757629,2556.959,10713.484
insert,2,11853311,2560.715,10723.663
insert,3,14541677,3120.255,10668.429
insert,3,14549034,3119.608,10672.572
insert,3,14579861,3117.764,10672.136
insert,3,14510063,3114.958,10666.003
