Type of thread,Thread Id,Number of Operations,LHT Time
find,0,131420,10604.868
find,0,133504,10600.688
find,0,138756,10610.957
find,1,145581,10601.446
find,1,139873,10623.543
find,1,144351,10596.817
find,2,132691,10616.938
find,2,140272,10590.425
find,2,135305,10593.304
insert,0,8088945,2719.986
insert,1,8139144,2694.99
insert,2,7602894,2824.446
insert,3,4891292,5649.728
insert,3,4617257,5717.051
insert,3,4887781,5834.826
insert,3,4808491,5841.996
insert,4,8345700,3594.055
insert,4,7337544,4346.558
insert,4,6315475,5252.629
insert,4,6823993,4339.896
insert,5,10414444,2932.683
insert,5,6720512,5206.511
insert,5,6540110,5406.071
insert,5,6269925,5209.396
insert,6,9390432,2639.154
insert,6,8694465,4193.297
insert,6,9630670,2785.132
insert,6,6606388,5673.904
insert,7,4280215,6530.654
insert,7,5079814,5543.187
insert,7,4868898,5818.167
insert,7,5070245,5618.039
