Type of thread,Thread Id,Number of Operations,LHT Time
find,0,106828,10630.76
find,0,101255,10630.77
find,0,104406,10630.463
find,1,101986,10635.93
find,1,100998,10635.832
find,1,102753,10638.478
find,2,111689,10622.634
find,2,119273,10627.299
find,2,111349,10627.267
find,3,99650,10631.876
find,3,102056,10632.729
find,3,96247,10633.095
find,4,114479,10635.428
find,4,112937,10635.783
find,4,115034,10633.539
find,5,110823,10629.71
find,5,106972,10627.924
find,5,109702,10631.416
find,6,102662,10625.187
find,6,100508,10625.918
find,6,101706,10625.765
find,7,111295,10620.854
find,7,119369,10625.905
find,7,109512,10625.331
find,8,121785,10628.232
find,8,116941,10628.342
find,8,116965,10630.142
insert,0,9493020,2329.189
insert,1,7423521,3104.851
insert,2,10218731,2268.767
insert,3,10832226,3527.43
insert,4,10104537,3327.328
insert,5,8588955,2096.19
insert,6,8485397,3472.921
insert,7,10120282,2235.463
insert,8,11888981,2383.751
insert,9,12908781,3987.632
insert,9,12943354,3665.193
insert,9,13177498,3560.493
insert,9,12898203,3538.751
