Type of thread,Thread Id,Number of Operations,LHT Time
find,0,95722,10632.861
find,0,96381,10635.976
find,0,93419,10633.713
find,1,110338,10628.434
find,1,107637,10618.719
find,1,106525,10630.362
find,2,89338,10629.103
find,2,101952,10629.816
find,2,102603,10630.069
insert,0,5765252,3091.472
insert,1,5995524,2905.298
insert,2,6421253,3404.182
insert,3,3210896,7097.805
insert,3,4486768,4452.185
insert,3,3951503,7016.099
insert,3,3163443,6916.62
insert,4,3537120,6471.296
insert,4,9460945,1592.211
insert,4,3153101,7007.467
insert,4,14988064,1847.696
insert,5,9468263,3319.926
insert,5,4896443,4598.035
insert,5,4777596,5815.873
insert,5,4997907,5657.459
insert,6,4726463,6541.705
insert,6,7700312,2594.886
insert,6,4978327,6102.036
insert,6,4661668,5685.704
insert,7,3708334,6787.968
insert,7,7556172,2048.717
insert,7,4137049,6439.701
insert,7,10068123,2602.201
insert,8,3158480,6872.483
insert,8,4793595,3066.175
insert,8,7260669,3722.498
insert,8,3409135,5792.836
insert,9,2752160,7229.22
insert,9,10301478,1388.873
insert,9,2950741,7175.479
insert,9,6760446,5323.072
