Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,3652599,0.165,23448.486,24431.000
find,1,113099154,0.0,0.0,24431.000
find,1,125619963,0.0,0.0,24431.000
find,1,124426932,0.0,0.0,24431.000
find,1,115750364,0.0,0.0,24431.000
insert,0,1977785,0.04,337.779,24431.000
insert,0,1960086,0.023,329.667,24431.000
insert,0,2018712,0.175,315.57,24431.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,3652599,0.165,23448.486,24431.000
find,1,113099154,0.0,0.0,24431.000
find,1,125619963,0.0,0.0,24431.000
find,1,124426932,0.0,0.0,24431.000
find,1,115750364,0.0,0.0,24431.000
insert,0,1977785,0.04,337.779,24431.000
insert,0,1960086,0.023,329.667,24431.000
insert,0,2018712,0.175,315.57,24431.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,3652599,0.165,23448.486,24431.000
find,1,113099154,0.0,0.0,24431.000
find,1,125619963,0.0,0.0,24431.000
find,1,124426932,0.0,0.0,24431.000
find,1,115750364,0.0,0.0,24431.000
insert,0,1977785,0.04,337.779,24431.000
insert,0,1960086,0.023,329.667,24431.000
insert,0,2018712,0.175,315.57,24431.000
