Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,17591889,0.115,96495.406,
find,0,17603395,0.162,96726.516,
find,0,17671520,0.119,96784.336,
find,1,18144177,0.103,97220.906,
find,1,18168749,0.079,97166.344,
find,1,18215833,0.15,97177.547,
insert,0,34106,0.023,27.444,
insert,1,25605,0.022,19.912,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,17591889,0.115,96495.406,
find,0,17603395,0.162,96726.516,
find,0,17671520,0.119,96784.336,
find,1,18144177,0.103,97220.906,
find,1,18168749,0.079,97166.344,
find,1,18215833,0.15,97177.547,
insert,0,34106,0.023,27.444,
insert,1,25605,0.022,19.912,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,17591889,0.115,96495.406,
find,0,17603395,0.162,96726.516,
find,0,17671520,0.119,96784.336,
find,1,18144177,0.103,97220.906,
find,1,18168749,0.079,97166.344,
find,1,18215833,0.15,97177.547,
insert,0,34106,0.023,27.444,
insert,1,25605,0.022,19.912,
