Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,4356283,0.204,27540.094,56115.000
find,0,4399649,0.183,28104.318,56115.000
find,1,171617709,0.0,0.0,56115.000
find,1,125867610,0.0,0.0,56115.000
find,1,118173799,0.0,0.0,56115.000
find,1,101943083,0.0,0.0,56115.000
insert,0,1101208,0.077,222.79,56115.000
insert,0,1148937,0.026,248.644,56115.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,4356283,0.204,27540.094,56115.000
find,0,4399649,0.183,28104.318,56115.000
find,1,171617709,0.0,0.0,56115.000
find,1,125867610,0.0,0.0,56115.000
find,1,118173799,0.0,0.0,56115.000
find,1,101943083,0.0,0.0,56115.000
insert,0,1101208,0.077,222.79,56115.000
insert,0,1148937,0.026,248.644,56115.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,4356283,0.204,27540.094,56115.000
find,0,4399649,0.183,28104.318,56115.000
find,1,171617709,0.0,0.0,56115.000
find,1,125867610,0.0,0.0,56115.000
find,1,118173799,0.0,0.0,56115.000
find,1,101943083,0.0,0.0,56115.000
insert,0,1101208,0.077,222.79,56115.000
insert,0,1148937,0.026,248.644,56115.000
