Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,654782,0.252,7593.033,23922.000
find,0,667884,0.286,7733.773,23922.000
find,0,721289,0.287,8529.453,23922.000
find,1,22964935,0.0,0.0,23922.000
find,1,20998056,0.0,0.0,23922.000
find,1,21585459,0.0,0.0,23922.000
find,1,2179539,0.0,0.0,23922.000
find,2,8420341,0.0,0.0,23922.000
find,2,20733121,0.0,0.0,23922.000
find,2,20378334,0.0,0.0,23922.000
find,2,8259760,0.0,0.0,23922.000
find,3,10468886,0.0,0.0,23922.000
find,3,6483717,0.0,0.0,23922.000
find,3,9325305,0.0,0.0,23922.000
find,3,9314008,0.0,0.0,23922.000
insert,0,655248,0.013,66.708,23922.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,654782,0.252,7593.033,23922.000
find,0,667884,0.286,7733.773,23922.000
find,0,721289,0.287,8529.453,23922.000
find,1,22964935,0.0,0.0,23922.000
find,1,20998056,0.0,0.0,23922.000
find,1,21585459,0.0,0.0,23922.000
find,1,2179539,0.0,0.0,23922.000
find,2,8420341,0.0,0.0,23922.000
find,2,20733121,0.0,0.0,23922.000
find,2,20378334,0.0,0.0,23922.000
find,2,8259760,0.0,0.0,23922.000
find,3,10468886,0.0,0.0,23922.000
find,3,6483717,0.0,0.0,23922.000
find,3,9325305,0.0,0.0,23922.000
find,3,9314008,0.0,0.0,23922.000
insert,0,655248,0.013,66.708,23922.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,654782,0.252,7593.033,23922.000
find,0,667884,0.286,7733.773,23922.000
find,0,721289,0.287,8529.453,23922.000
find,1,22964935,0.0,0.0,23922.000
find,1,20998056,0.0,0.0,23922.000
find,1,21585459,0.0,0.0,23922.000
find,1,2179539,0.0,0.0,23922.000
find,2,8420341,0.0,0.0,23922.000
find,2,20733121,0.0,0.0,23922.000
find,2,20378334,0.0,0.0,23922.000
find,2,8259760,0.0,0.0,23922.000
find,3,10468886,0.0,0.0,23922.000
find,3,6483717,0.0,0.0,23922.000
find,3,9325305,0.0,0.0,23922.000
find,3,9314008,0.0,0.0,23922.000
insert,0,655248,0.013,66.708,23922.000
