Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,113633999,0.0,0.0,26695.000
find,0,135318211,0.0,0.0,26695.000
find,0,175772672,0.0,0.0,26695.000
find,0,41071673,0.0,0.0,26695.000
find,1,3896186,0.182,25735.309,26695.000
insert,1,1692772,0.048,303.727,26695.000
insert,1,1757508,0.014,336.272,26695.000
insert,1,1813461,0.021,319.783,26695.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,113633999,0.0,0.0,26695.000
find,0,135318211,0.0,0.0,26695.000
find,0,175772672,0.0,0.0,26695.000
find,0,41071673,0.0,0.0,26695.000
find,1,3896186,0.182,25735.309,26695.000
insert,1,1692772,0.048,303.727,26695.000
insert,1,1757508,0.014,336.272,26695.000
insert,1,1813461,0.021,319.783,26695.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,113633999,0.0,0.0,26695.000
find,0,135318211,0.0,0.0,26695.000
find,0,175772672,0.0,0.0,26695.000
find,0,41071673,0.0,0.0,26695.000
find,1,3896186,0.182,25735.309,26695.000
insert,1,1692772,0.048,303.727,26695.000
insert,1,1757508,0.014,336.272,26695.000
insert,1,1813461,0.021,319.783,26695.000
