Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7859116,0.145,44837.324,
find,0,7723277,0.154,44756.574,
find,1,7821831,0.163,45187.297,
find,1,7792012,0.145,45206.359,
insert,0,119431,0.029,56.237,
insert,0,129916,0.024,61.151,
insert,1,102602,0.022,50.46,
insert,1,112053,0.072,56.735,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7859116,0.145,44837.324,
find,0,7723277,0.154,44756.574,
find,1,7821831,0.163,45187.297,
find,1,7792012,0.145,45206.359,
insert,0,119431,0.029,56.237,
insert,0,129916,0.024,61.151,
insert,1,102602,0.022,50.46,
insert,1,112053,0.072,56.735,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7859116,0.145,44837.324,
find,0,7723277,0.154,44756.574,
find,1,7821831,0.163,45187.297,
find,1,7792012,0.145,45206.359,
insert,0,119431,0.029,56.237,
insert,0,129916,0.024,61.151,
insert,1,102602,0.022,50.46,
insert,1,112053,0.072,56.735,
