Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,5269187,0.175,31124.561,95143.000
find,0,5661644,0.151,33249.777,95143.000
find,0,5170926,0.185,30547.199,95143.000
find,1,137001444,0.0,0.0,95143.000
find,1,114925314,0.0,0.0,95143.000
find,1,151355258,0.0,0.0,95143.000
find,1,45874295,0.0,0.0,95143.000
insert,0,1025136,0.023,221.556,95143.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,5269187,0.175,31124.561,95143.000
find,0,5661644,0.151,33249.777,95143.000
find,0,5170926,0.185,30547.199,95143.000
find,1,137001444,0.0,0.0,95143.000
find,1,114925314,0.0,0.0,95143.000
find,1,151355258,0.0,0.0,95143.000
find,1,45874295,0.0,0.0,95143.000
insert,0,1025136,0.023,221.556,95143.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,5269187,0.175,31124.561,95143.000
find,0,5661644,0.151,33249.777,95143.000
find,0,5170926,0.185,30547.199,95143.000
find,1,137001444,0.0,0.0,95143.000
find,1,114925314,0.0,0.0,95143.000
find,1,151355258,0.0,0.0,95143.000
find,1,45874295,0.0,0.0,95143.000
insert,0,1025136,0.023,221.556,95143.000
