Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,22329560,0.0,0.0,
find,1,26668854,0.0,0.0,
find,1,22555689,0.0,0.0,
find,1,25124871,0.0,0.0,
find,2,1149634,0.0,0.0,
find,2,4547272,0.0,0.0,
find,2,18626369,0.0,0.0,
find,2,4814062,0.0,0.0,
find,3,5229821,0.0,0.0,
find,3,4707735,0.0,0.0,
find,3,4779308,0.0,0.0,
find,3,5181240,0.0,0.0,
insert,0,547419,0.012,37.154,
insert,0,519563,0.036,31.999,
insert,0,520845,0.056,32.176,
insert,0,538160,0.012,33.476,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,22329560,0.0,0.0,
find,1,26668854,0.0,0.0,
find,1,22555689,0.0,0.0,
find,1,25124871,0.0,0.0,
find,2,1149634,0.0,0.0,
find,2,4547272,0.0,0.0,
find,2,18626369,0.0,0.0,
find,2,4814062,0.0,0.0,
find,3,5229821,0.0,0.0,
find,3,4707735,0.0,0.0,
find,3,4779308,0.0,0.0,
find,3,5181240,0.0,0.0,
insert,0,547419,0.012,37.154,
insert,0,519563,0.036,31.999,
insert,0,520845,0.056,32.176,
insert,0,538160,0.012,33.476,
