Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,55117867,0.0,0.0,
find,0,15533387,0.0,0.0,
find,0,38612220,0.0,0.0,
find,0,46493810,0.0,0.0,
find,1,85511325,0.0,0.0,
find,1,73195180,0.0,0.0,
find,1,58760057,0.0,0.0,
find,1,92084592,0.0,0.0,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,55117867,0.0,0.0,
find,0,15533387,0.0,0.0,
find,0,38612220,0.0,0.0,
find,0,46493810,0.0,0.0,
find,1,85511325,0.0,0.0,
find,1,73195180,0.0,0.0,
find,1,58760057,0.0,0.0,
find,1,92084592,0.0,0.0,
