Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,11218408,0.0,0.0,
find,0,908687,0.0,0.0,
find,0,16061188,0.0,0.0,
find,0,12613720,0.0,0.0,
find,1,13409748,0.0,0.0,
find,1,14742163,0.0,0.0,
find,1,12571304,0.0,0.0,
find,1,12873724,0.0,0.0,
find,2,21118846,0.0,0.0,
find,2,10655395,0.0,0.0,
find,2,11387456,0.0,0.0,
find,2,7955452,0.0,0.0,
find,3,8645160,0.0,0.0,
find,3,32888863,0.0,0.0,
find,3,17129237,0.0,0.0,
find,3,25774676,0.0,0.0,
