Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,497992,0.56,6579.367,
find,1,24996409,0.0,0.0,
find,1,20370522,0.0,0.0,
find,1,17601800,0.0,0.0,
find,1,18412925,0.0,0.0,
find,2,5333327,0.0,0.0,
find,2,5082868,0.0,0.0,
find,2,22764429,0.0,0.0,
find,2,22708724,0.0,0.0,
find,3,3762908,0.0,0.0,
find,3,5047303,0.0,0.0,
find,3,5145950,0.0,0.0,
find,3,6202972,0.0,0.0,
insert,0,546803,0.011,45.957,
insert,0,546523,0.035,42.029,
insert,0,536005,0.081,41.39,
