Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,9795223,0.145,48291.102,
find,0,9699867,0.309,48148.004,
find,0,9597539,0.215,48279.309,
find,1,3860786,0.273,24639.619,
insert,0,17507,0.033,12.954,
insert,1,1226242,0.022,242.196,
insert,1,1215423,0.058,225.743,
insert,1,1282647,0.062,238.988,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,9795223,0.145,48291.102,
find,0,9699867,0.309,48148.004,
find,0,9597539,0.215,48279.309,
find,1,3860786,0.273,24639.619,
insert,0,17507,0.033,12.954,
insert,1,1226242,0.022,242.196,
insert,1,1215423,0.058,225.743,
insert,1,1282647,0.062,238.988,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,9795223,0.145,48291.102,
find,0,9699867,0.309,48148.004,
find,0,9597539,0.215,48279.309,
find,1,3860786,0.273,24639.619,
insert,0,17507,0.033,12.954,
insert,1,1226242,0.022,242.196,
insert,1,1215423,0.058,225.743,
insert,1,1282647,0.062,238.988,
