Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,2531486,7.849,32706.297,
find,1,5428451,0.182,48317.703,
find,1,5578112,0.077,48302.605,
find,1,5433985,0.178,48339.777,
find,2,5032414,0.251,47923.047,
find,2,5023514,0.244,47828.461,
find,2,5016574,0.113,48021.254,
find,3,5295955,0.118,48190.699,
find,3,5300091,0.117,48245.926,
find,3,5291332,0.102,48152.91,
insert,0,794756,0.016,145.298,
insert,0,863132,0.025,152.582,
insert,0,843703,0.031,159.12,
insert,1,18617,0.02,13.013,
insert,2,25215,0.023,20.672,
insert,3,21128,0.022,14.733,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,2531486,7.849,32706.297,
find,1,5428451,0.182,48317.703,
find,1,5578112,0.077,48302.605,
find,1,5433985,0.178,48339.777,
find,2,5032414,0.251,47923.047,
find,2,5023514,0.244,47828.461,
find,2,5016574,0.113,48021.254,
find,3,5295955,0.118,48190.699,
find,3,5300091,0.117,48245.926,
find,3,5291332,0.102,48152.91,
insert,0,794756,0.016,145.298,
insert,0,863132,0.025,152.582,
insert,0,843703,0.031,159.12,
insert,1,18617,0.02,13.013,
insert,2,25215,0.023,20.672,
insert,3,21128,0.022,14.733,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,2531486,7.849,32706.297,
find,1,5428451,0.182,48317.703,
find,1,5578112,0.077,48302.605,
find,1,5433985,0.178,48339.777,
find,2,5032414,0.251,47923.047,
find,2,5023514,0.244,47828.461,
find,2,5016574,0.113,48021.254,
find,3,5295955,0.118,48190.699,
find,3,5300091,0.117,48245.926,
find,3,5291332,0.102,48152.91,
insert,0,794756,0.016,145.298,
insert,0,863132,0.025,152.582,
insert,0,843703,0.031,159.12,
insert,1,18617,0.02,13.013,
insert,2,25215,0.023,20.672,
insert,3,21128,0.022,14.733,
