Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,3931473,0.207,24339.779,
find,1,7973449,0.273,45388.184,
find,1,7997156,0.173,45396.25,
insert,0,1246838,0.028,224.902,
insert,0,1283414,0.015,249.096,
insert,0,1276939,0.083,231.892,
insert,1,104929,0.038,52.966,
insert,1,100461,0.023,49.623,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,3931473,0.207,24339.779,
find,1,7973449,0.273,45388.184,
find,1,7997156,0.173,45396.25,
insert,0,1246838,0.028,224.902,
insert,0,1283414,0.015,249.096,
insert,0,1276939,0.083,231.892,
insert,1,104929,0.038,52.966,
insert,1,100461,0.023,49.623,
