Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,4055819,0.199,45655.668,
find,0,4070690,0.367,45720.684,
find,1,5392409,0.151,48323.105,
find,1,5383540,0.095,48336.617,
find,1,5364823,0.116,48334.691,
find,2,4978446,0.167,47899.469,
find,2,4964620,0.238,47768.43,
find,2,4976573,0.277,47964.586,
find,3,5157193,0.235,48130.984,
find,3,5144432,0.206,48099.0,
find,3,5136582,0.125,47978.457,
insert,0,75641,0.069,42.827,
insert,0,79555,0.025,43.648,
insert,1,19169,0.023,12.654,
insert,2,26075,0.02,20.82,
insert,3,23183,0.021,15.824,
