Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,8222972,1.011,46438.324,
find,0,8314628,0.08,46680.438,
find,0,8189160,1.217,46595.629,
insert,0,51709,0.036,38.281,
insert,1,56634692,1.181,3675.98,
insert,1,56976449,1.18,3159.567,
insert,1,57288895,1.204,3197.362,
insert,1,56848784,1.197,3152.764,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,8222972,1.011,46438.324,
find,0,8314628,0.08,46680.438,
find,0,8189160,1.217,46595.629,
insert,0,51709,0.036,38.281,
insert,1,56634692,1.181,3675.98,
insert,1,56976449,1.18,3159.567,
insert,1,57288895,1.204,3197.362,
insert,1,56848784,1.197,3152.764,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,8222972,1.011,46438.324,
find,0,8314628,0.08,46680.438,
find,0,8189160,1.217,46595.629,
insert,0,51709,0.036,38.281,
insert,1,56634692,1.181,3675.98,
insert,1,56976449,1.18,3159.567,
insert,1,57288895,1.204,3197.362,
insert,1,56848784,1.197,3152.764,
