Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,511598,0.536,6596.999,13712.000
find,0,552773,0.278,7020.938,13712.000
find,1,1773977,0.0,0.0,13712.000
find,1,22340879,0.0,0.0,13712.000
find,1,23530162,0.0,0.0,13712.000
find,1,24838914,0.0,0.0,13712.000
find,2,22873672,0.0,0.0,13712.000
find,2,23893039,0.0,0.0,13712.000
find,2,6508611,0.0,0.0,13712.000
find,2,6642368,0.0,0.0,13712.000
find,3,8506529,0.0,0.0,13712.000
find,3,8465852,0.0,0.0,13712.000
find,3,6737945,0.0,0.0,13712.000
find,3,7572537,0.0,0.0,13712.000
insert,0,536058,0.011,46.077,13712.000
insert,0,536953,0.079,48.908,13712.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,511598,0.536,6596.999,13712.000
find,0,552773,0.278,7020.938,13712.000
find,1,1773977,0.0,0.0,13712.000
find,1,22340879,0.0,0.0,13712.000
find,1,23530162,0.0,0.0,13712.000
find,1,24838914,0.0,0.0,13712.000
find,2,22873672,0.0,0.0,13712.000
find,2,23893039,0.0,0.0,13712.000
find,2,6508611,0.0,0.0,13712.000
find,2,6642368,0.0,0.0,13712.000
find,3,8506529,0.0,0.0,13712.000
find,3,8465852,0.0,0.0,13712.000
find,3,6737945,0.0,0.0,13712.000
find,3,7572537,0.0,0.0,13712.000
insert,0,536058,0.011,46.077,13712.000
insert,0,536953,0.079,48.908,13712.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,511598,0.536,6596.999,13712.000
find,0,552773,0.278,7020.938,13712.000
find,1,1773977,0.0,0.0,13712.000
find,1,22340879,0.0,0.0,13712.000
find,1,23530162,0.0,0.0,13712.000
find,1,24838914,0.0,0.0,13712.000
find,2,22873672,0.0,0.0,13712.000
find,2,23893039,0.0,0.0,13712.000
find,2,6508611,0.0,0.0,13712.000
find,2,6642368,0.0,0.0,13712.000
find,3,8506529,0.0,0.0,13712.000
find,3,8465852,0.0,0.0,13712.000
find,3,6737945,0.0,0.0,13712.000
find,3,7572537,0.0,0.0,13712.000
insert,0,536058,0.011,46.077,13712.000
insert,0,536953,0.079,48.908,13712.000
