Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,69788901,0.0,0.0,
find,0,57914744,0.0,0.0,
find,0,85893757,0.0,0.0,
find,0,68598441,0.0,0.0,
find,1,3227341,0.345,37334.891,
find,1,3266964,0.397,37330.613,
find,1,3062148,0.298,35185.547,
find,2,3095200,0.339,35239.578,
find,2,3573858,0.574,40640.508,
find,2,3568945,0.272,40581.906,
find,3,3615746,0.203,41185.391,
find,3,3667025,0.246,41093.641,
find,3,3665610,0.319,41139.188,
insert,1,377632,0.026,131.926,
insert,2,214822,0.025,127.879,
insert,3,165786,0.029,90.787,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,69788901,0.0,0.0,
find,0,57914744,0.0,0.0,
find,0,85893757,0.0,0.0,
find,0,68598441,0.0,0.0,
find,1,3227341,0.345,37334.891,
find,1,3266964,0.397,37330.613,
find,1,3062148,0.298,35185.547,
find,2,3095200,0.339,35239.578,
find,2,3573858,0.574,40640.508,
find,2,3568945,0.272,40581.906,
find,3,3615746,0.203,41185.391,
find,3,3667025,0.246,41093.641,
find,3,3665610,0.319,41139.188,
insert,1,377632,0.026,131.926,
insert,2,214822,0.025,127.879,
insert,3,165786,0.029,90.787,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,69788901,0.0,0.0,
find,0,57914744,0.0,0.0,
find,0,85893757,0.0,0.0,
find,0,68598441,0.0,0.0,
find,1,3227341,0.345,37334.891,
find,1,3266964,0.397,37330.613,
find,1,3062148,0.298,35185.547,
find,2,3095200,0.339,35239.578,
find,2,3573858,0.574,40640.508,
find,2,3568945,0.272,40581.906,
find,3,3615746,0.203,41185.391,
find,3,3667025,0.246,41093.641,
find,3,3665610,0.319,41139.188,
insert,1,377632,0.026,131.926,
insert,2,214822,0.025,127.879,
insert,3,165786,0.029,90.787,
