Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
insert,0,26260039,1.352,1399.846,11527.000
insert,0,26720088,1.175,1411.012,11527.000
insert,0,23483248,0.683,1259.62,11527.000
insert,0,25200810,1.218,1608.783,11527.000
insert,1,28502994,1.327,1731.585,11527.000
insert,1,22818141,1.196,1211.982,11527.000
insert,1,27815195,1.195,1468.766,11527.000
insert,1,27349853,0.711,1435.658,11527.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
insert,0,26260039,1.352,1399.846,11527.000
insert,0,26720088,1.175,1411.012,11527.000
insert,0,23483248,0.683,1259.62,11527.000
insert,0,25200810,1.218,1608.783,11527.000
insert,1,28502994,1.327,1731.585,11527.000
insert,1,22818141,1.196,1211.982,11527.000
insert,1,27815195,1.195,1468.766,11527.000
insert,1,27349853,0.711,1435.658,11527.000
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
insert,0,26260039,1.352,1399.846,11527.000
insert,0,26720088,1.175,1411.012,11527.000
insert,0,23483248,0.683,1259.62,11527.000
insert,0,25200810,1.218,1608.783,11527.000
insert,1,28502994,1.327,1731.585,11527.000
insert,1,22818141,1.196,1211.982,11527.000
insert,1,27815195,1.195,1468.766,11527.000
insert,1,27349853,0.711,1435.658,11527.000
