Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7871768,0.251,44945.312,
find,0,7797382,0.17,44950.168,
find,1,9506879,0.062,48273.5,
find,1,9535589,0.076,48413.117,
find,1,9573706,0.097,48410.891,
insert,0,131618,0.022,56.994,
insert,0,122452,0.033,54.494,
insert,1,17504,0.022,13.319,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7871768,0.251,44945.312,
find,0,7797382,0.17,44950.168,
find,1,9506879,0.062,48273.5,
find,1,9535589,0.076,48413.117,
find,1,9573706,0.097,48410.891,
insert,0,131618,0.022,56.994,
insert,0,122452,0.033,54.494,
insert,1,17504,0.022,13.319,
