Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,191647761,0.0,0.0,
find,1,182083804,0.0,0.0,
find,1,3116946,0.0,0.0,
find,1,136532894,0.0,0.0,
insert,0,1375843,0.023,74.908,
insert,0,1693754,0.031,92.058,
insert,0,1605552,0.012,102.619,
insert,0,1392643,0.063,76.142,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,191647761,0.0,0.0,
find,1,182083804,0.0,0.0,
find,1,3116946,0.0,0.0,
find,1,136532894,0.0,0.0,
insert,0,1375843,0.023,74.908,
insert,0,1693754,0.031,92.058,
insert,0,1605552,0.012,102.619,
insert,0,1392643,0.063,76.142,
