Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,533241,177747,0.017,9.475
genuine,1,527865,175955,0.012,9.376
genuine,2,526521,175507,0.021,9.397
genuine,3,528249,176083,0.011,9.409
genuine,4,531321,177107,0.013,9.48
genuine,5,529593,176531,0.012,9.442
genuine,6,528825,176275,0.013,9.447
genuine,7,530937,176979,0.01,9.465
genuine,8,531513,177171,0.048,9.515
genuine,9,528441,176147,0.013,9.375
genuine,10,531321,177107,0.03,9.518
genuine,11,527673,175891,0.007,9.393
genuine,12,532857,177619,0.008,9.501
genuine,13,529977,176659,0.008,9.436
genuine,14,530553,176851,0.015,9.449
genuine,15,529209,176403,0.012,9.432
malicious,0,217924765,217924765,0.137,3390.849
