Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2418,1488,4.742,80.458
genuine,1,2418,1488,2.998,82.973
genuine,2,2457,1512,11.489,111.21
genuine,3,2509,1544,10.425,110.182
genuine,4,2483,1528,8.423,114.887
genuine,5,2444,1504,4.995,92.08
genuine,6,2483,1528,9.127,111.802
genuine,7,2457,1512,5.645,101.61
genuine,8,2405,1480,8.23,90.392
genuine,9,2366,1456,6.314,79.772
genuine,10,2366,1456,8.053,111.858
genuine,11,2470,1520,8.298,86.565
genuine,12,2483,1528,8.235,96.57
genuine,13,2483,1528,4.216,86.579
genuine,14,2366,1456,8.295,93.649
genuine,15,2379,1464,9.672,97.796
genuine,16,2431,1496,11.03,91.537
genuine,17,2353,1448,7.111,84.001
genuine,18,2353,1448,8.941,107.098
genuine,19,2431,1496,8.761,94.12
genuine,20,2431,1496,7.145,89.893
genuine,21,2431,1496,5.063,88.139
genuine,22,2340,1440,7.255,96.765
genuine,23,2457,1512,6.303,84.541
genuine,24,2353,1448,7.868,88.689
genuine,25,2509,1544,10.865,129.801
genuine,26,2366,1456,9.166,80.972
genuine,27,2444,1504,10.061,95.925
genuine,28,2444,1504,6.11,84.343
genuine,29,2379,1464,8.347,85.767
genuine,30,2470,1520,6.218,93.344
genuine,31,2405,1480,4.367,97.512
genuine,32,2548,1568,7.943,109.766
genuine,33,2418,1488,4.165,90.198
genuine,34,2431,1496,8.802,97.078
genuine,35,2483,1528,6.949,87.64
genuine,36,2509,1544,6.443,122.91
genuine,37,2379,1464,5.759,82.397
genuine,38,2340,1440,7.512,80.718
genuine,39,2379,1464,2.932,74.228
genuine,40,2418,1488,4.318,85.113
genuine,41,2431,1496,11.741,100.241
genuine,42,2483,1528,9.7,99.84
genuine,43,2418,1488,3.294,79.388
genuine,44,2340,1440,6.91,75.777
genuine,45,2535,1560,11.5,111.244
genuine,46,2548,1568,9.212,104.404
genuine,47,2496,1536,2.502,81.306
genuine,48,2366,1456,7.735,94.031
genuine,49,2340,1440,9.429,100.28
genuine,50,2262,1392,4.948,77.228
genuine,51,2340,1440,14.147,99.806
genuine,52,2379,1464,4.981,87.425
genuine,53,2366,1456,11.517,103.239
genuine,54,2444,1504,9.031,105.464
genuine,55,2470,1520,8.877,88.759
genuine,56,2457,1512,6.707,104.913
genuine,57,2405,1480,6.417,98.688
genuine,58,2314,1424,4.28,85.952
genuine,59,2392,1472,9.759,109.402
genuine,60,2262,1392,4.301,82.785
genuine,61,2431,1496,5.715,88.484
genuine,62,2327,1432,4.796,77.848
genuine,63,2340,1440,10.315,94.066
malicious,0,18177,18177,11.831,546.042
