Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,436812,145604,0.014,56.126
genuine,1,422205,140735,0.087,56.664
genuine,2,431346,143782,0.016,55.751
genuine,3,418440,139480,0.017,57.266
genuine,4,418677,139559,0.015,56.786
genuine,5,427497,142499,0.064,56.404
genuine,6,420600,140200,0.019,56.659
genuine,7,435954,145318,0.014,56.028
genuine,8,428199,142733,0.015,55.894
genuine,9,425802,141934,0.017,56.34
genuine,10,436056,145352,0.014,56.257
genuine,11,419208,139736,0.017,56.972
genuine,12,430836,143612,0.016,55.855
genuine,13,423537,141179,0.017,56.611
genuine,14,422058,140686,0.019,57.117
genuine,15,418209,139403,0.018,56.941
malicious,0,56281689,56281689,8.345,6883.376
