Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,7038,3128,9.83,222.134
genuine,1,7146,3176,6.034,189.188
genuine,2,7137,3172,3.775,200.037
genuine,3,6921,3076,8.392,238.05
genuine,4,7128,3168,10.219,229.341
genuine,5,7092,3152,9.019,227.632
genuine,6,7290,3240,9.038,234.046
genuine,7,6687,2972,11.287,195.542
genuine,8,7074,3144,9.226,270.321
genuine,9,7146,3176,5.954,216.249
genuine,10,7119,3164,3.913,196.144
genuine,11,7182,3192,10.415,193.131
genuine,12,6642,2952,10.543,234.302
genuine,13,7101,3156,9.733,220.778
genuine,14,7092,3152,5.672,212.32
genuine,15,6876,3056,7.206,209.869
malicious,0,79822,79822,20.568,1980.924
