Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2754,1224,7.005,104.748
genuine,1,2736,1216,3.173,100.225
genuine,2,2844,1264,5.928,106.613
genuine,3,2619,1164,12.525,112.943
genuine,4,2781,1236,8.359,108.401
genuine,5,2808,1248,9.259,104.969
genuine,6,2736,1216,3.521,85.098
genuine,7,2655,1180,2.368,85.052
genuine,8,2709,1204,10.795,114.17
genuine,9,2718,1208,3.287,89.61
genuine,10,2673,1188,3.963,94.165
genuine,11,2790,1240,6.682,111.311
genuine,12,2817,1252,4.936,108.958
genuine,13,2799,1244,2.533,89.118
genuine,14,2763,1228,6.827,102.045
genuine,15,2781,1236,9.108,116.669
genuine,16,2709,1204,8.513,100.424
genuine,17,2718,1208,7.834,114.987
genuine,18,2673,1188,1.648,80.824
genuine,19,2709,1204,3.193,90.368
genuine,20,2862,1272,14.502,113.241
genuine,21,2745,1220,10.167,107.447
genuine,22,2754,1224,6.376,94.434
genuine,23,2637,1172,4.059,93.92
genuine,24,2772,1232,4.445,94.072
genuine,25,2844,1264,6.029,99.206
genuine,26,2844,1264,6.062,99.217
genuine,27,2682,1192,7.422,107.647
genuine,28,2808,1248,4.606,90.193
genuine,29,2772,1232,14.62,113.657
genuine,30,2763,1228,4.637,103.417
genuine,31,2763,1228,3.857,89.388
genuine,32,2781,1236,5.441,87.965
genuine,33,2727,1212,4.99,102.608
genuine,34,2565,1140,5.916,91.796
genuine,35,2826,1256,8.734,101.454
genuine,36,2736,1216,6.279,93.162
genuine,37,2718,1208,8.971,101.511
genuine,38,2817,1252,2.357,90.558
genuine,39,2772,1232,11.814,127.064
genuine,40,2781,1236,6.056,101.57
genuine,41,2781,1236,8.75,133.474
genuine,42,2808,1248,4.334,87.422
genuine,43,2619,1164,3.862,100.813
genuine,44,2655,1180,7.13,93.723
genuine,45,2691,1196,8.951,123.545
genuine,46,2799,1244,3.405,92.112
genuine,47,2763,1228,4.844,106.511
genuine,48,2583,1148,3.649,88.0
genuine,49,2718,1208,7.38,110.494
genuine,50,2835,1260,7.236,96.883
genuine,51,2718,1208,9.432,109.402
genuine,52,2727,1212,4.143,93.934
genuine,53,2592,1152,6.207,101.254
genuine,54,2718,1208,5.622,104.538
genuine,55,2817,1252,9.52,98.173
genuine,56,2574,1144,2.529,81.051
genuine,57,2691,1196,2.972,85.894
genuine,58,2754,1224,1.996,86.237
genuine,59,2700,1200,8.29,104.987
genuine,60,2727,1212,6.917,111.048
genuine,61,2700,1200,4.564,88.131
genuine,62,2574,1144,2.854,91.237
genuine,63,2682,1192,5.777,105.636
malicious,0,17430,17430,7.362,393.559
