Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,10656,2664,4.243,318.014
genuine,1,10704,2676,9.306,363.085
genuine,2,10704,2676,8.312,349.841
genuine,3,10864,2716,5.67,341.722
genuine,4,10768,2692,6.456,331.124
genuine,5,10544,2636,7.307,351.245
genuine,6,10752,2688,7.465,343.558
genuine,7,10592,2648,13.544,363.304
genuine,8,10384,2596,10.178,341.999
genuine,9,10416,2604,12.74,331.004
genuine,10,11040,2760,13.011,360.125
genuine,11,10400,2600,5.162,331.459
genuine,12,10640,2660,6.244,342.104
genuine,13,10880,2720,12.234,351.6
genuine,14,10496,2624,2.679,340.241
genuine,15,10720,2680,9.071,357.477
malicious,0,64202,64202,13.395,1643.927
